Objects
100
,,Global Angle BOLT_2:BOLT_2,,,,,,Global Angle rvr5:rvr5,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
116,0,0.004105,0.038602,1.012659,101.322418,1079.408936,181.106934,0.014394,0.005409,0.505412,329.587097,869.344666,151.160385
117,0,0.003344,0.038276,1.012797,101.328178,1079.411743,181.097565,0.014098,0.005345,0.505395,329.594482,869.342957,151.160126
118,0,0.003787,0.037877,1.012563,101.320518,1079.412354,181.095093,0.014351,0.005353,0.505410,329.587097,869.344238,151.156876
119,0,0.004684,0.038168,1.012416,101.329140,1079.409302,181.100418,0.014372,0.005382,0.505401,329.592712,869.343140,151.156464
120,0,0.003217,0.037739,1.012687,101.323608,1079.410522,181.097336,0.014278,0.005404,0.505407,329.591766,869.336487,151.163177
121,0,0.003412,0.038558,1.012775,101.324516,1079.414185,181.098434,0.014203,0.005389,0.505533,329.587921,869.342957,151.153061
122,0,0.003649,0.037965,1.012536,101.326782,1079.416748,181.098541,0.014073,0.005313,0.505392,329.594269,869.339111,151.162537
123,0,0.003738,0.038190,1.012561,101.326370,1079.412720,181.102036,0.014336,0.005289,0.505460,329.585114,869.338806,151.152344
124,0,0.004040,0.037823,1.012682,101.319801,1079.418335,181.095383,0.014178,0.005351,0.505407,329.587494,869.341980,151.155731
125,0,0.004040,0.038027,1.012233,101.322479,1079.419434,181.093933,0.014189,0.005226,0.505424,329.586548,869.336975,151.152863
126,0,0.003762,0.037687,1.012672,101.322334,1079.412476,181.102905,0.014113,0.005388,0.505418,329.593231,869.337708,151.155899
127,0,0.003078,0.038273,1.012806,101.320564,1079.411011,181.095306,0.014008,0.005396,0.505477,329.591400,869.336182,151.150635
128,0,0.003826,0.038102,1.012527,101.314133,1079.410645,181.091003,0.014130,0.005395,0.505457,329.585693,869.333862,151.150360
129,0,0.003613,0.037926,1.012399,101.312500,1079.405762,181.089890,0.014194,0.005393,0.505364,329.593781,869.331726,151.157028
130,0,0.003806,0.037994,1.012604,101.316895,1079.411133,181.087204,0.014306,0.005314,0.505409,329.589203,869.340088,151.150650
131,0,0.003476,0.038144,1.012711,101.313217,1079.410400,181.092239,0.014211,0.005297,0.505458,329.587372,869.339417,151.146942
132,0,0.003175,0.037977,1.012411,101.322945,1079.410156,181.092453,0.014346,0.005313,0.505388,329.595032,869.336609,151.160690
133,0,0.004123,0.037966,1.012530,101.311111,1079.411987,181.092102,0.014279,0.005279,0.505383,329.590424,869.340698,151.154816
