Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
33,0,0.000224,0.037805,1.698778,69.818253,1053.696655,165.071747,-0.024064,-0.002273,1.567429,-610.810242,1601.075195,161.465988,0.002534,-0.016940,1.532686,-491.188263,244.330231,139.234497,0.019993,-0.081812,1.527562,64.552513,204.036713,144.534607
34,0,0.000408,0.037846,1.698639,69.808914,1053.689819,165.059006,-0.026806,-0.000644,1.556808,-612.007629,1605.094849,162.235977,0.002595,-0.016857,1.532648,-491.199951,244.323944,139.221649,0.019849,-0.081776,1.527588,64.545609,204.027222,144.516876
35,0,-0.000217,0.037532,1.698646,69.809044,1053.693359,165.060501,-0.029692,0.000726,1.544219,-613.226013,1609.094238,162.274063,0.002641,-0.016880,1.532641,-491.201904,244.325241,139.224762,0.020001,-0.081812,1.527585,64.543655,204.033127,144.518448
36,0,0.000475,0.037905,1.698777,69.818260,1053.699585,165.080643,-0.030703,-0.002614,1.531826,-614.451294,1613.145142,161.628220,0.002501,-0.017007,1.532643,-491.191650,244.337341,139.235611,0.019955,-0.081929,1.527606,64.551567,204.040649,144.534897
37,0,0.000332,0.037739,1.698501,69.819038,1053.692749,165.077911,-0.028590,-0.005761,1.521750,-615.423401,1616.593994,161.415070,0.002569,-0.016932,1.532707,-491.189453,244.329422,139.237930,0.019641,-0.081660,1.527556,64.553810,204.035858,144.526382
38,0,0.000160,0.037661,1.698700,69.805595,1053.692993,165.055817,-0.023198,-0.014383,1.512816,-616.211060,1619.600464,161.607864,0.002550,-0.016825,1.532684,-491.205414,244.324341,139.215408,0.019859,-0.081813,1.527661,64.532646,204.029709,144.503967
39,0,0.000230,0.037642,1.698768,69.818214,1053.696655,165.067261,-0.019179,-0.018671,1.505340,-616.752075,1622.656616,161.213348,0.002564,-0.016946,1.532675,-491.194092,244.327423,139.229218,0.019896,-0.081806,1.527611,64.544449,204.033386,144.520935
40,0,0.000356,0.038020,1.698813,69.824738,1053.694946,165.077408,-0.018235,-0.012697,1.509549,-616.526855,1626.774170,161.450912,0.002565,-0.016882,1.532706,-491.178345,244.331024,139.244843,0.019934,-0.081838,1.527559,64.555695,204.032501,144.536209
41,0,0.000306,0.037910,1.698732,69.805687,1053.697266,165.060196,-0.013815,-0.007453,1.515062,-616.246155,1631.291748,161.271561,0.002596,-0.016885,1.532618,-491.205841,244.329514,139.213028,0.019935,-0.081959,1.527655,64.537186,204.030304,144.511505
42,0,0.000070,0.037544,1.698687,69.805725,1053.698853,165.056549,-0.019616,-0.004915,1.510044,-617.208374,1635.666382,161.640594,0.002680,-0.016921,1.532682,-491.203064,244.332413,139.215271,0.019974,-0.081902,1.527596,64.538094,204.034348,144.510178
43,0,0.000746,0.038033,1.698630,69.824791,1053.695068,165.078293,-0.023728,-0.005928,1.502888,-618.364502,1639.906982,161.690262,0.002516,-0.017020,1.532699,-491.179260,244.330078,139.239639,0.020171,-0.081995,1.527532,64.560463,204.031097,144.539124
44,0,0.000068,0.037549,1.698692,69.823174,1053.693359,165.077698,-0.028629,-0.006450,1.495760,-619.405823,1643.779541,161.608841,0.002559,-0.016882,1.532696,-491.190094,244.319687,139.233658,0.020073,-0.081892,1.527550,64.558144,204.028763,144.533844
